query,week_start,clicks,impressions,position_avg,ctr_pct
360 photo booth san diego,2026-03-02,0,1,9.0,0.0
360 photo booth san diego,2026-03-09,0,1,11.0,0.0
360 photo booth size,2026-03-02,0,1,14.0,0.0
360 photo booth size,2026-04-06,0,1,2.0,0.0
360 photo booth sizes,2026-02-09,0,1,13.0,0.0
360 photo booth sizes,2026-02-16,0,1,13.0,0.0
360 photo booth sizes,2026-03-02,0,2,11.5,0.0
360 photo booth sizes,2026-03-09,0,2,22.0,0.0
360 photo booth sizes,2026-03-16,0,1,10.0,0.0
360 photo booth sizes,2026-03-30,0,3,11.33,0.0
360 photo booth sizes,2026-04-06,0,4,10.5,0.0
360 photo booth sizes,2026-04-13,0,2,16.0,0.0
360 photo booth sizes,2026-04-20,0,1,17.0,0.0
360 photo booth sizes,2026-05-04,0,2,18.5,0.0
360 photo booth wedding,2026-02-09,0,1,1.0,0.0
360 photo booth westchester county,2026-02-23,0,1,66.0,0.0
360 photo example,2026-05-18,0,1,48.0,0.0
360 photo example,2026-05-25,0,1,59.0,0.0
360 photobooth,2026-03-02,0,1,7.0,0.0
360 picture booth rental,2026-02-23,0,1,8.0,0.0
360 rotating photo booth,2026-02-16,0,1,92.0,0.0
360 video camera party,2026-03-16,0,1,1.0,0.0
3×3 cm photo size,2026-03-02,0,1,1.0,0.0
4 people poses photobooth,2026-04-06,0,1,34.0,0.0
4 poses photobooth,2026-02-09,0,1,10.0,0.0
4 strip photobooth,2026-02-09,0,1,1.0,0.0
4 strip photobooth,2026-02-16,0,1,1.0,0.0
4 strip photobooth,2026-02-23,0,2,1.0,0.0
4 strip photobooth,2026-03-02,0,3,1.33,0.0
4 strip photobooth,2026-03-09,0,1,2.0,0.0
